User ID,Master Rating,Master Rating Range,Character
3501043916,853,0-1000,Zangief
3550193741,870,0-1000,Dhalsim
2548640398,940,0-1000,Chun-Li
3283687718,995,0-1000,E. Honda
1055170400,1013,1001-1250,Marisa
3961245511,1029,1001-1250,Ken
1906409142,1042,1001-1250,Chun-Li
4006713323,1044,1001-1250,Ken
1841317730,1045,1001-1250,Jamie
2522324212,1068,1001-1250,Juri
3569749841,1072,1001-1250,Chun-Li
3864637171,1083,1001-1250,Zangief
3503246329,1089,1001-1250,E. Honda
3081246732,1094,1001-1250,Blanka
3206486019,1115,1001-1250,Blanka
3033521080,1119,1001-1250,Marisa
2381515399,1121,1001-1250,Dhalsim
3130559794,1122,1001-1250,Cammy
3605345837,1126,1001-1250,Cammy
2670671373,1129,1001-1250,Jamie
3947963582,1130,1001-1250,Jamie
3426982184,1133,1001-1250,Ken
1449599692,1133,1001-1250,Blanka
2589539294,1133,1001-1250,Manon
2704968029,1133,1001-1250,E. Honda
3265223230,1137,1001-1250,Zangief
2801273101,1139,1001-1250,Dee Jay
1719522732,1140,1001-1250,Ken
1454783665,1141,1001-1250,Dhalsim
3418649024,1142,1001-1250,Cammy
2906991086,1144,1001-1250,E. Honda
4078951662,1145,1001-1250,Guile
1241152780,1145,1001-1250,Ken
2622956525,1145,1001-1250,Dee Jay
3043766020,1146,1001-1250,JP
2191407465,1146,1001-1250,Guile
2920876307,1146,1001-1250,Zangief
3297845837,1147,1001-1250,Marisa
2353267395,1149,1001-1250,JP
3918173148,1149,1001-1250,Marisa
2571419448,1149,1001-1250,Manon
1481357978,1150,1001-1250,Ryu
2998688302,1150,1001-1250,Ken
2777421985,1151,1001-1250,Chun-Li
1816257805,1154,1001-1250,Juri
2666540498,1154,1001-1250,Dee Jay
2364330952,1157,1001-1250,Cammy
4114263678,1157,1001-1250,Ryu
1758155191,1159,1001-1250,Dee Jay
2783879695,1159,1001-1250,Luke
3273732897,1160,1001-1250,Dee Jay
3175482819,1161,1001-1250,Juri
1920443146,1162,1001-1250,Blanka
2669812201,1162,1001-1250,Juri
2885016474,1162,1001-1250,JP
3830454105,1162,1001-1250,Ken
1678934146,1162,1001-1250,Manon
2311497726,1162,1001-1250,Dhalsim
3719720896,1163,1001-1250,Luke
2090878168,1163,1001-1250,Ken
3551180799,1164,1001-1250,Marisa
1812089796,1165,1001-1250,Lily
2429787923,1166,1001-1250,JP
2459977819,1167,1001-1250,E. Honda
3713240216,1168,1001-1250,Guile
3893947421,1168,1001-1250,Marisa
2576443098,1168,1001-1250,Cammy
2972646858,1170,1001-1250,Marisa
3952195249,1170,1001-1250,Juri
4000321951,1170,1001-1250,Marisa
1681472822,1170,1001-1250,JP
2088306815,1171,1001-1250,Luke
1890733084,1171,1001-1250,Blanka
3620934236,1171,1001-1250,Marisa
2904210404,1172,1001-1250,Ken
2939117417,1173,1001-1250,Lily
1699382266,1174,1001-1250,E. Honda
2121916965,1174,1001-1250,Juri
3897998158,1174,1001-1250,Guile
1372356055,1174,1001-1250,JP
2934025092,1174,1001-1250,Rashid
3959289950,1175,1001-1250,Zangief
1518335952,1175,1001-1250,Marisa
3657739227,1176,1001-1250,Jamie
1238382817,1177,1001-1250,Ryu
3441928622,1178,1001-1250,Juri
3393441958,1178,1001-1250,Cammy
3295689167,1179,1001-1250,JP
2617168921,1179,1001-1250,Guile
3521322339,1179,1001-1250,Blanka
2230866379,1179,1001-1250,Ryu
2575615601,1179,1001-1250,JP
3737236173,1179,1001-1250,Lily
1497932281,1180,1001-1250,Kimberly
3425618077,1180,1001-1250,JP
2352746948,1180,1001-1250,Cammy
3063064350,1181,1001-1250,Marisa
4035614043,1181,1001-1250,E. Honda
3944644831,1181,1001-1250,Ryu
3699304896,1183,1001-1250,Juri
4001729255,1184,1001-1250,Dee Jay
3546915566,1184,1001-1250,Cammy
2358134042,1184,1001-1250,Dee Jay
2212050141,1184,1001-1250,Ryu
2689721532,1185,1001-1250,Manon
2249477262,1185,1001-1250,Kimberly
1913143675,1185,1001-1250,Ken
3291880726,1185,1001-1250,JP
1367872415,1186,1001-1250,Blanka
3067273159,1187,1001-1250,Ryu
3163708248,1187,1001-1250,Dee Jay
4294477450,1187,1001-1250,Ken
3536991329,1188,1001-1250,Guile
1492316726,1189,1001-1250,JP
2790995909,1189,1001-1250,Manon
4010518495,1189,1001-1250,Luke
2314522908,1189,1001-1250,Juri
3548005489,1190,1001-1250,Juri
2885853140,1190,1001-1250,E. Honda
2292267495,1191,1001-1250,Zangief
4054109647,1192,1001-1250,Ryu
1945107221,1192,1001-1250,Ken
3803310983,1193,1001-1250,Juri
2539899731,1193,1001-1250,Juri
2509891361,1193,1001-1250,JP
3454452243,1194,1001-1250,JP
3601024943,1194,1001-1250,Manon
1779366143,1195,1001-1250,Jamie
3553731311,1195,1001-1250,Manon
2239021745,1195,1001-1250,Kimberly
4165369448,1197,1001-1250,Chun-Li
1282492771,1197,1001-1250,Jamie
2394028312,1198,1001-1250,Guile
2467497494,1199,1001-1250,Ken
3059751580,1199,1001-1250,Ken
1307952346,1199,1001-1250,JP
3891065367,1199,1001-1250,Dee Jay
3810414874,1200,1001-1250,Ken
3064949201,1200,1001-1250,Juri
3303466407,1200,1001-1250,Cammy
1470184461,1200,1001-1250,Manon
2597341604,1200,1001-1250,JP
3185477668,1201,1001-1250,Luke
3494668341,1201,1001-1250,Marisa
2791234630,1201,1001-1250,Dee Jay
1941598300,1201,1001-1250,Manon
2462220554,1202,1001-1250,Marisa
1723801639,1202,1001-1250,Marisa
3685851697,1202,1001-1250,Manon
2916243066,1202,1001-1250,Luke
2193632330,1202,1001-1250,Ryu
2032101835,1202,1001-1250,Jamie
2877077741,1203,1001-1250,Marisa
1414291073,1203,1001-1250,Ken
3165788314,1203,1001-1250,Ryu
1765454971,1203,1001-1250,Chun-Li
3146157106,1203,1001-1250,JP
2922801618,1203,1001-1250,Jamie
3570889381,1203,1001-1250,Lily
1403205124,1203,1001-1250,Guile
2567070810,1203,1001-1250,JP
2455980626,1204,1001-1250,Zangief
3484261732,1204,1001-1250,E. Honda
3535575500,1204,1001-1250,Dhalsim
2153904473,1204,1001-1250,Ken
1986581255,1204,1001-1250,Lily
3385204448,1204,1001-1250,Juri
3411726944,1204,1001-1250,Kimberly
1308986554,1205,1001-1250,Juri
3340314892,1205,1001-1250,JP
3192492655,1205,1001-1250,Ken
4147061828,1205,1001-1250,Luke
2418744712,1205,1001-1250,Zangief
1517662458,1205,1001-1250,Jamie
2470410855,1206,1001-1250,Zangief
3498775505,1206,1001-1250,Juri
1812311476,1206,1001-1250,Dee Jay
3019893938,1206,1001-1250,Cammy
3678552506,1206,1001-1250,JP
3869785630,1206,1001-1250,Marisa
2901111635,1206,1001-1250,Marisa
3946746761,1206,1001-1250,E. Honda
3220215199,1206,1001-1250,Kimberly
2998056469,1206,1001-1250,Zangief
3610553118,1207,1001-1250,Ken
4285105866,1207,1001-1250,Guile
3739266249,1207,1001-1250,Ken
1297541898,1207,1001-1250,E. Honda
3054680326,1207,1001-1250,Dee Jay
1792932594,1208,1001-1250,JP
2286660521,1208,1001-1250,Ken
3048668899,1208,1001-1250,Ken
2969799394,1209,1001-1250,Jamie
2044641651,1209,1001-1250,Manon
3178637849,1209,1001-1250,Juri
3412395079,1209,1001-1250,Ken
1298435162,1209,1001-1250,Ken
2152608138,1209,1001-1250,Lily
2064271291,1209,1001-1250,E. Honda
1491293516,1210,1001-1250,Luke
1457909321,1210,1001-1250,E. Honda
2865893176,1210,1001-1250,Juri
2215289436,1210,1001-1250,Luke
4122783788,1210,1001-1250,E. Honda
1721937073,1211,1001-1250,JP
2628714803,1211,1001-1250,Juri
2622576526,1211,1001-1250,Jamie
1777375917,1211,1001-1250,Manon
4204006498,1211,1001-1250,Cammy
1122432881,1212,1001-1250,Manon
1956188598,1212,1001-1250,Luke
1943959441,1212,1001-1250,Dhalsim
3124847357,1213,1001-1250,JP
1310378315,1213,1001-1250,Guile
3672120716,1213,1001-1250,Cammy
1606045187,1213,1001-1250,Dee Jay
2816254112,1213,1001-1250,Blanka
4287322473,1213,1001-1250,Luke
2545349277,1213,1001-1250,Ken
1003473707,1214,1001-1250,Zangief
2096169715,1214,1001-1250,Marisa
2517034938,1215,1001-1250,Ryu
2822501212,1215,1001-1250,Ryu
4132671507,1215,1001-1250,Dee Jay
3299145822,1216,1001-1250,Marisa
2960399788,1216,1001-1250,Juri
1611300542,1216,1001-1250,JP
4131683510,1216,1001-1250,Ken
1808350209,1216,1001-1250,Ken
4059587680,1216,1001-1250,Guile
1784558604,1217,1001-1250,Ken
3847314044,1217,1001-1250,Lily
2534664696,1217,1001-1250,Dee Jay
3943910155,1217,1001-1250,Kimberly
3947502332,1217,1001-1250,Lily
3192909586,1218,1001-1250,Blanka
3605093342,1218,1001-1250,Luke
3337892204,1218,1001-1250,Kimberly
2673106811,1218,1001-1250,JP
2509739914,1218,1001-1250,Dee Jay
1922137353,1218,1001-1250,Manon
2505647408,1218,1001-1250,Zangief
1174871769,1218,1001-1250,Dee Jay
1094181963,1218,1001-1250,Ken
3128847019,1218,1001-1250,Jamie
1169744804,1219,1001-1250,Cammy
2792577863,1219,1001-1250,Ken
3390753998,1219,1001-1250,Dhalsim
1905331053,1219,1001-1250,Ken
3583844106,1219,1001-1250,Ryu
1085637963,1219,1001-1250,Cammy
2938761388,1220,1001-1250,JP
1077186939,1220,1001-1250,Guile
2960435829,1220,1001-1250,Lily
3995909326,1220,1001-1250,Ken
1392165258,1220,1001-1250,JP
2471942816,1220,1001-1250,Ken
3401949232,1220,1001-1250,JP
2536380391,1220,1001-1250,Zangief
2511295801,1220,1001-1250,Zangief
2444899621,1221,1001-1250,Ryu
2898123290,1221,1001-1250,Ryu
2617597341,1221,1001-1250,Zangief
3429694204,1221,1001-1250,Dee Jay
